시점,기업,상대사,대상,총 계약규모,선급금,출처_매체,기사일자,출처_URL
2026-08,알테오젠,비공개,ALT-B4(하이브로자임 SC 플랫폼),3.65억달러(약 5219억원),미공개(효력일 30일 내 수령),CBC뉴스,2026-08,https://www.cbci.co.kr/news/articleView.html?idxno=594578
2026-06,아리바이오,중국 푸싱제약,AR1001(알츠하이머 치료제),최대 7조원,900억원,머니투데이 더바이오,2026-06-29,https://www.mt.co.kr/thebio/2026/06/29/2026062821553849278
2026-06,한미약품,일라이 릴리,소네페글루타이드(단장증후군),최대 2조원,1120억원,머니투데이 더바이오,2026-06-29,https://www.mt.co.kr/thebio/2026/06/29/2026062821553849278
2026-06,오스코텍,비공개,신약 후보물질,최대 1조원,미공개,머니투데이 더바이오,2026-06-28,https://www.mt.co.kr/thebio/2026/06/28/2026062513272830848
2026-06-01,K-바이오 일괄(한미·오스코텍 등),복수,-,하루 3조원대 릴레이 체결,-,헤럴드경제,2026-06,https://biz.heraldcorp.com/article/10761976
2025-04,에이비엘바이오,GSK,그랩바디-B(BBB 셔틀 플랫폼),30.2억달러(약 4조1000억원),미공개,뉴데일리,2026-03-27,https://biz.newdaily.co.kr/site/data/html/2026/03/27/2026032700145.html
2025 연간,에이비엘바이오,GSK·일라이 릴리(2건),그랩바디-B,합계 약 8조원,미공개,뉴데일리,2026-03-27,https://biz.newdaily.co.kr/site/data/html/2026/03/27/2026032700145.html
참고(실적),알테오젠,-,2025년 연결 실적,매출 2159억원(+110%)·영업이익 1069억원(+321%),-,알테오젠 IR,2026-02,https://www.alteogen.com/kr/sub/ir/news.php?mode=view&bid=1&idx=246
