연도,구분,한국 장비 매출(억달러),증감률,원화 환산(조원·1430원 기준),지표 정의,출처_매체,기사일자,출처_URL
2021,실적(역산),약 250,-,약 35.8,SEMI 지역별 빌링스(2022년 -14% 역산 추정치),SEMI 보도자료(2023-04 기준 역산),2023-04,https://www.semi.org/en/news-media-press-releases/semi-press-releases/global-semiconductor-equipment-billings-reach-industry-record-$107.6-billion-in-2022-semi-reports
2022,실적,215,-14%,30.7,SEMI 지역별 빌링스,SEMI 보도자료,2023-04,https://www.semi.org/en/news-media-press-releases/semi-press-releases/global-semiconductor-equipment-billings-reach-industry-record-$107.6-billion-in-2022-semi-reports
2023,실적,199,-7%,28.5,SEMI 지역별 빌링스(메모리 재고조정),SEMI 보도자료,2024-04,https://www.semi.org/en/news-media-press-releases/semi-press-releases/global-semiconductor-equipment-billings-slip-to-$106.3-billion-in-2023-semi-reports
2024,실적,205,+3%,29.3,SEMI 지역별 빌링스(메모리 안정화·HBM 수요),SEMI 보도자료,2026-04,https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025
2025,실적,258,+26%,36.9,SEMI 지역별 빌링스(HBM·D램 투자 강세),SEMI 보도자료,2026-04,https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025
2026Q1,실적(분기),89.3,+16% YoY / +26% QoQ,12.8,SEMI 분기 빌링스(한국),TelecomLead(SEMI 인용),2026-06,https://telecomlead.com/semiconductor/global-semiconductor-equipment-market-reaches-record-36-55-bn-in-q1-2026-semi-126159
2025,전망(팹투자 기준),233,-,33.3,팹 장비 투자액(빌링스보다 좁은 기준),뉴스N연합,2026,https://newsyonhap.com/news/108706
2026,전망(팹투자 기준),297,+27.2%,42.5,팹 장비 투자액·대만 제치고 세계 2위,뉴스N연합,2026,https://newsyonhap.com/news/108706
